job_title,company,experience,min exp,max exp,salary,base salary,max salary,location,jobListed(days ago),postedIn,rating,reviews count,details
JP Morgan Chase - Client Data Analyst (4-8 yrs),JP Morgan Chase,4-8 Yrs,4,8,3.6-13.3L/yr,360000.0,1330000.0,Hyderabad / Secunderabad,3,iimjobs,4.1,5300,"Banking, KYC, Banking Operations"
Data Analyst - Bangalore,Schneider Electric,5-10 Yrs,5,10,8.0-16.0L/yr,800000.0,1600000.0,"Bangalore / Bengaluru, Bangalore Rural",4,Naukri,4.2,3500,"ERP, SAP, Data Analysis"
Senior IT ATLAS Data Analyst and Integration Specialist,SAP Labs India Pvt. Ltd.,7-11 Yrs,7,11,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,7,Naukri,4.3,1500,"data quality, Data analysis, quality management"
Consultant Data Analyst,Pfizer,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,3,Naukri,4.1,1700,"Power Bi, Commercial Operations, Data Management"
Senior Data Analyst - Retail Liabilities,IDFC FIRST Bank,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,5,Naukri,4.5,2300,"Test strategy, Analytical, Manager Technology"
JP Morgan Chase - Client Data Analyst (4-9 yrs),JP Morgan Chase,4-9 Yrs,4,9,3.6-13.3L/yr,360000.0,1330000.0,Hyderabad / Secunderabad,7,iimjobs,4.1,5300,"KYC, AML, Banking"
Principal Business Data Analyst,GlaxoSmithKline Pharmaceuticals Limited,5-9 Yrs,5,9,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,2,Naukri,4.2,1600,"Procurement, Relationship management, Computer science"
"SENIOR, DATA ANALYST",Walmart Labs,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,2,Naukri,4.0,2100,"Supply chain, Data analysis, Data modeling"
Data Analysts in Supply chain planning,Hewlett-Packard,6-8 Yrs,6,8,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,5,Naukri,4.2,3500,"Power Bi, Supply chain Planning, Tableau"
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking"
Data Analyst CX,IDFC FIRST Bank,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking"
Data Analyst - Cx,IDFC FIRST Bank,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",9,Naukri,4.5,2300,"Test strategy, Analytical, Banking"
Customer Master Data Analyst,Genpact,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,3,Naukri,3.9,27000,"Mdg, CMD, Master Data"
"Senior, Data Analyst",Walmart Labs,5-6 Yrs,5,6,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,4,Naukri,4.0,2100,"Computer science, Data analysis, MS SQL"
Data Analyst,Reliance Retail,3-8 Yrs,3,8,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,4,Naukri,4.0,19600,"Power Bi, MIS, Data Analysis"
Data Analyst- PSP Transformation,Faurecia,4-6 Yrs,4,6,3.6-13.3L/yr,360000.0,1330000.0,Pune,3,Naukri,4.0,1100,"RPA, Power BI, Power Apps"
Senior Data Analyst,Optum Global Solutions (India) Private Limited,12-16 Yrs,12,16,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,6,Naukri,4.0,3500,"data warehouse, Power BI, Data Analysis"
Senior Data Analyst - Cx,IDFC FIRST Bank,3-7 Yrs,3,7,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Pune, New Delhi",11,Naukri,4.5,2300,"Test strategy, Analytical, Manager Technology"
Data Analyst,Amazon,2-4 Yrs,2,4,1.8-7.0L/yr,180000.0,700000.0,"Delhi/Ncr, Bangalore / Bengaluru",11,Naukri,4.1,21700,"AWS technologies, Excel, SQL"
Retail Data Analyst,IDFC FIRST Bank,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,12,Naukri,4.5,2300,"Stress testing, Audit compliance, Regulatory reporting"
Senior Data Analyst-Credit Cards,IDFC FIRST Bank,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,12,Naukri,4.5,2300,"Usage, Test strategy, Analytical"
Senior Data Analyst - Cx,IDFC FIRST Bank,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,12,Naukri,4.5,2300,"Test strategy, Analytical, Senior Data Analyst"
Data Analyst-Retail Assets,IDFC FIRST Bank,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,12,Naukri,4.5,2300,"Retail, Test strategy, Analytical"
Senior Data Analyst,IDFC FIRST Bank,2-5 Yrs,2,5,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,12,Naukri,4.5,2300,"Usage, Test strategy, Analytical"
FHIR Data Analyst,Infosys Limited,5-10 Yrs,5,10,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,4,Naukri,3.8,33500,"HL7 FHIR implementation, Agile Methodologies, FHIR"
Healthcare Data Analyst,Infosys Limited,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,4,Naukri,3.8,33500,"PL/SQL, STTM creation, Data mapping"
Specialist - Investments,Jardine Lloyd Thompson India Pvt Ltd.,2-5 Yrs,2,5,4.8-7.0L/yr,475400.0,700000.0,Pune,3,Naukri,4.0,558,"Data management, RDBMS, Project management"
JP Morgan Chase - Reference Data Analyst (4-6 yrs),JP Morgan Chase,4-6 Yrs,4,6,3.6-13.3L/yr,360000.0,1330000.0,Mumbai,16,iimjobs,4.1,5300,"Reference Data, IT Business Analyst, IT Jobs in BFSI"
Veeva process specialists,Tech Mahindra,5-10 Yrs,5,10,7.0-12.0L/yr,700000.0,1200000.0,Hyderabad / Secunderabad,3,Naukri,3.7,28500,"CTMS, CDMS, Veeva"
Data Analyst/Sr. Analyst - SAS & Python,FedEx,3-8 Yrs,3,8,10.0-20.0L/yr,1000000.0,2000000.0,"Mumbai, Bangalore / Bengaluru",17,Naukri,4.2,1100,"Predictive Modeling, Logistic Regression, SAS"
Data Analyst For SAP Business Warehouse,Siemens Limited,2-6 Yrs,2,6,3.6-13.3L/yr,360000.0,1330000.0,Pune,2,Naukri,4.2,4200,"Automation, SAP, Project management"
Data Analyst- SQL,Gainwell Technologies,13-23 Yrs,13,23,3.6-13.3L/yr,360000.0,1330000.0,"Chennai, Bangalore / Bengaluru",4,Naukri,4.0,83,"Query Optimization, Msql, Stored Procedures"
Sr. Price & Data Analyst,Stanley Black & Decker,5-8 Yrs,5,8,3.6-13.3L/yr,360000.0,1330000.0,Bangalore / Bengaluru,4,Naukri,4.0,268,"AB Analysis, Pricing, Price Framework"
